stone,minecraft:stone,0
sstone,minecraft:stone,0
smoothstone,minecraft:stone,0
rock,minecraft:stone,0
grass,minecraft:grass,0
greendirt,minecraft:grass,0
greenearth,minecraft:grass,0
greenland,minecraft:grass,0
dirt,minecraft:dirt,0
earth,minecraft:dirt,0
land,minecraft:dirt,0
grasslessdirt,minecraft:dirt,1
grasslessearth,minecraft:dirt,1
grasslessland,minecraft:dirt,1
podzol,minecraft:dirt,2
cobblestone,minecraft:cobblestone,0
cstone,minecraft:cobblestone,0
cobble,minecraft:cobblestone,0
wood,minecraft:planks,0
plank,minecraft:planks,0
woodenplank,minecraft:planks,0
woodplank,minecraft:planks,0
wplank,minecraft:planks,0
plankwooden,minecraft:planks,0
plankwood,minecraft:planks,0
plankw,minecraft:planks,0
oakplank,minecraft:planks,0
oakwoodenplank,minecraft:planks,0
oakwoodplank,minecraft:planks,0
oakwplank,minecraft:planks,0
oakplankwooden,minecraft:planks,0
oakplankwood,minecraft:planks,0
oakplankw,minecraft:planks,0
oplank,minecraft:planks,0
owoodenplank,minecraft:planks,0
owoodplank,minecraft:planks,0
owplank,minecraft:planks,0
oplankwooden,minecraft:planks,0
oplankwood,minecraft:planks,0
oplankw,minecraft:planks,0
pineplank,minecraft:planks,1
pinewoodenplank,minecraft:planks,1
pinewoodplank,minecraft:planks,1
pinewplank,minecraft:planks,1
pineplankwooden,minecraft:planks,1
pineplankwood,minecraft:planks,1
pineplankw,minecraft:planks,1
pplank,minecraft:planks,1
pwoodenplank,minecraft:planks,1
pwoodplank,minecraft:planks,1
pwplank,minecraft:planks,1
pplankwooden,minecraft:planks,1
pplankwood,minecraft:planks,1
pplankw,minecraft:planks,1
darkplank,minecraft:planks,1
darkwoodenplank,minecraft:planks,1
darkwoodplank,minecraft:planks,1
darkwplank,minecraft:planks,1
darkplankwooden,minecraft:planks,1
darkplankwood,minecraft:planks,1
darkplankw,minecraft:planks,1
dplank,minecraft:planks,1
dwoodenplank,minecraft:planks,1
dwoodplank,minecraft:planks,1
dwplank,minecraft:planks,1
